english_title,english_text,german_title,german_text,english_word_count,german_word_count,MarianMT,mBART,Tsmall100,MemoryUsed,mBART_BLEU,mBART_TER,mBART_CHRF,mBART_ROUGE,MarianMT_BLEU,MarianMT_TER,MarianMT_CHRF,MarianMT_ROUGE,Tsmall100_BLEU,Tsmall100_TER,Tsmall100_CHRF,Tsmall100_ROUGE,MarianMT_BLURT,MarianMT_COMET,Tsmall100_BLURT,Tsmall100_COMET,mBART_BLURT,mBART_COMET,MarianMT_H1,MarianMT_H2,MarianMT_H3,Tsmall100_H1,Tsmall100_H2,Tsmall100_H3,mBART_H1,mBART_H2,mBART_H3,InferenceTime_mBART,InferenceTime_TSmall,InferenceTime_MarianMT,MemoryUsage_mBART,MemoryUsage_TSmall,MemoryUsage_MarianMT,Normalized_MarianMT_BLEU,Normalized_mBART_BLEU,Normalized_Tsmall100_BLEU,Normalized_MarianMT_TER,Normalized_mBART_TER,Normalized_Tsmall100_TER,Normalized_MarianMT_CHRF,Normalized_mBART_CHRF,Normalized_Tsmall100_CHRF,Normalized_MarianMT_ROUGE,Normalized_mBART_ROUGE,Normalized_Tsmall100_ROUGE,Normalized_MarianMT_COMET,Normalized_mBART_COMET,Normalized_Tsmall100_COMET,Normalized_MarianMT_BLURT,Normalized_mBART_BLURT,Normalized_Tsmall100_BLURT,Final_Quantitative_Score_MarianMT,Final_Quantitative_Score_mBART,Final_Quantitative_Score_Tsmall100
Alphabet,An alphabet is a standardized set of basic written symbols or graphemes (called letters) that represent the phonemes of certain spoken languages.,Alphabet,"Ein Alphabet (frühneuhochdeutsch von kirchenlateinisch , von  alphábētos) ist die Gesamtheit der kleinsten Schriftzeichen bzw. Buchstaben einer Sprache oder mehrerer Sprachen in einer festgelegten Reihenfolge.",22,25,"An alphabet (early New High German from church Latin, from alphábētos) is the total of the smallest characters or letters of a language or several languages in a defined order.","Ein Alphabet (frühneuhochdeutsch von kirchenlateinisch, von alphábētos) ist die Gesamtheit der kleinsten Schriftzeichen bzw. Buchstaben einer Sprache oder mehrerer Sprachen in einer festgelegten Reihenfolge.",An alphabet is the totality of the smallest letters or letters of a language or more languages in a specified order.,GPU,1.69340966771981,104.545454545455,23.0285202508114,0.0408163265306122,3.47605955894945,118.181818181818,30.9991965462247,0.296296296296296,7.76282513612451,77.2727272727273,31.759538972613,0.372093023255814,0.613165020942688,0.6319,0.668004870414734,0.6319,0.434236645698547,0.6319,5.0,3.0,8.0,6.0,6.0,8.0,0.0,0,0,6.03774296889111,3.14152000661414,6.92873815443503,3.94467694633814,1.07434986390736,3.05122779277884,0.0502379301674143,0.108384867456242,0.208137545945297,0.973652067701972,0.992159587137753,0.988906926406927,0.393070557791853,0.473924052912866,0.414964343923475,0.333333333333333,0.0959183673469387,0.54122621564482,0.646674953387197,0.599036818393662,0.617232685748183,0.65465827326689,0.511750273803016,0.744504420163333,0.508604519274777,0.463528994508413,0.585828689638673
Abraham Lincoln,"Abraham Lincoln (; February 12, 1809 – April 15, 1865) was an American lawyer and statesman who served as the 16th president of the United States from 1861 until his assassination in 1865.",Abraham Lincoln,"Abraham Lincoln  (* 12. Februar 1809 bei Hodgenville, Hardin County, heute: LaRue County, Kentucky; † 15. April 1865 in Washington, D.C.) amtierte von 1861 bis 1865 als 16. Präsident der Vereinigten Staaten von Amerika.",33,34,"Abraham Lincoln (b. February 12, 1809 near Hodgenville, Hardin County, today: LaRue County, Kentucky; died April 15, 1865 in Washington, D.C.) served as the 16th President of the United States from 1861 to 1865.","Abraham Lincoln (* 12. Februar 1809 bei Hodgenville, Hardin County; † 15. April 1865 in Washington, D.C.) war 1861 bis 1865 Präsident der Vereinigten Staaten von Amerika.","Abraham Lincoln (12 February 1809 in Hodgenville, Hardin County, today: LaRue County, Kentucky; 15 April 1865 in Washington, D.C.) served as the 16th President of the United States from 1861 to 1865.",GPU,5.48202522048367,90.9090909090909,32.2956324396199,0.275862068965517,27.521259127822,57.5757575757576,55.594779126469,0.606060606060606,22.2660123861443,57.5757575757576,51.1481707437583,0.5625,0.726413905620575,0.785,0.7158362865448,0.7208,0.66498589515686,0.7208,3.0,7.0,4.0,7.0,8.0,6.0,0.0,0,0,7.40815731153912,3.16067574617037,6.40335530605589,3.82688173761185,1.40211844458283,2.72285098426329,0.397752417855779,0.350871137823344,0.596998269930542,0.991101029488746,0.99603017070266,0.99476911976912,0.715909439430847,0.66464005721903,0.696932041509684,0.681818181818182,0.648275862068965,0.818181818181818,0.88455562461156,0.737144632592823,0.749073112857778,0.762807739678338,0.770507262332273,0.794306838005128,0.738990738813908,0.694578187123183,0.775043533375678
Afghanistan,"Afghanistan (), officially the Islamic Emirate of Afghanistan, is a landlocked country located at the crossroads of Central and South Asia.",Afghanistan,"Afghanistan (paschtunisch und ) ist ein Binnenstaat an der Schnittstelle von Südasien, Zentralasien und Vorderasien, der an Iran, Turkmenistan, Usbekistan, Tadschikistan, die Volksrepublik China und Pakistan grenzt.",21,27,"Afghanistan (Pashtun) is a landlocked state bordering Iran, Turkmenistan, Uzbekistan, Tajikistan, the People's Republic of China and Pakistan.","Afghanistan ist ein Binnenstaat an der Schnittstelle von Südasien, Zentralasien und Vorderasien, der mit Iran, Turkmenistan, Usbekistan, Tadschikistan, der Volksrepublik China und Pakistan begrenzt ist.","Afghanistan is an internal state on the interfaces of South Asia, Central Asia and Advanced Asia, bordering with Iran, Turkmenistan, Uzbekistan, Tajikistan, the People's Republic of China and Pakistan.",GPU,1.64044726250607,114.285714285714,25.4710004950729,0.0434782608695652,8.77491027594595,76.1904761904762,31.8774544664231,0.358974358974359,3.27433032881251,114.285714285714,32.4473650032142,0.28,0.65531051158905,0.757,0.747238039970398,0.6833,0.529134273529053,0.6833,7.0,3.0,8.0,0.0,3.0,2.0,0.0,0,0,7.40553149351357,2.83218361402615,6.30837898433821,3.14593437984422,1.0011315594987,3.61379839207051,0.126819843616698,0.104995065579781,0.0877916309207925,0.985741705511379,0.989394884591391,0.977891156462585,0.404598473580079,0.524189989408687,0.424967356228712,0.403846153846154,0.102173913043478,0.407272727272727,0.841050341827222,0.678887680596551,0.693459884324485,0.694906019088115,0.618166326958708,0.827002571721521,0.576160422911608,0.502967976696433,0.569730887821804
Ampere,"The ampere (, ; symbol: A), often shortened to amp, is the base unit of electric current in the International System of Units (SI).",Ampere,"Das Ampere [] mit Einheitenzeichen A, benannt nach dem französischen Mathematiker und Physiker André-Marie Ampère, ist die SI-Basiseinheit der elektrischen Stromstärke und zugleich SI-Einheit der abgeleiteten Größe magnetische Durchflutung.",24,29,"The ampere [] with unit sign A, named after the French mathematician and physicist André-Marie Ampère, is the SI base unit of the electrical current and at the same time SI unit of the derived size magnetic flow.","Die Ampere mit Einheitszeichen A, benannt nach dem französischen Mathematiker und Physiker André-Marie Ampère, ist die SI-Basiseinheit der elektrischen Stromstärke und zugleich SI-Einheit der abgeleiteten Größe magnetische Durchflutung.","The ampere [] with the unit letter A, named after the French mathematician and physicist André-Marie Ampère, is the SI base unit of electrical power and simultaneously SI unit of the derived size magnetic flow.",GPU,1.64229344883467,112.5,19.7140665688637,0.140350877192982,7.26902026281537,116.666666666667,35.1609907324396,0.39344262295082,7.71678504430642,112.5,34.8322785006311,0.344827586206897,0.85611093044281,0.6795,0.830272734165192,0.6945,0.30448916554451,0.6945,3.0,1.0,1.0,4.0,6.0,7.0,0.0,0,0,7.84512972410799,2.08295132510871,6.90787643460597,2.68239744758168,1.50264067501214,3.37666170119314,0.105055890486297,0.10511322875337,0.206903114980013,0.974088291746641,0.989901746724891,0.978422619047619,0.44769780544113,0.405713012644863,0.459651008780705,0.442622950819672,0.329824561403509,0.501567398119122,0.720633934120572,0.696287090259438,0.710069701913095,0.886664712482732,0.366254384595439,0.913458898341868,0.596127264182841,0.482182337396918,0.628345456863737
Arthur Schopenhauer,"Arthur Schopenhauer ( , ; 22 February 1788 – 21 September 1860) was a German philosopher.",Arthur Schopenhauer,"Arthur Schopenhauer (* 22. Februar 1788 in Danzig; † 21. September 1860 in Frankfurt am Main) war ein deutscher Philosoph und Hochschullehrer.

Schopenhauer entwarf eine Lehre, die gleichermaßen Erkenntnistheorie, Metaphysik, Ästhetik und Ethik umfasst.",16,34,"Arthur Schopenhauer (b. February 22, 1788 in Gdansk, Germany – September 21, 1860 in Frankfurt am Main) was a German philosopher and university teacher. Schopenhauer designed a teaching that includes both epistemology, metaphysics, aesthetics and ethics.","Arthur Schopenhauer (* 22. Februar 1788 in Danzig; † 21. September 1860 in Frankfurt am Main) war ein deutscher Philosoph und Hochschullehrer. Schopenhauer entwarf eine Lehre, die gleichermaßen Erkenntnistheorie, Metaphysik, Ästhetik und Ethik umfasst.","Arthur Schopenhauer (February 22, 1788 in Danzig; September 21, 1860 in Frankfurt am Main) was a German philosopher and professor of higher education. Schopenhauer designed a teaching that also includes theory of knowledge, metaphysics, aesthetics and ethics.",GPU,4.84818916317371,193.75,44.8617860081175,0.311111111111111,12.0143331448297,187.5,52.8855177763751,0.425531914893617,12.0143331448297,200.0,51.9780652827195,0.408163265306123,0.812881529331207,0.6799,0.811608493328095,0.3179,0.546523153781891,0.3179,2.0,3.0,3.0,8.0,3.0,2.0,0.0,0,0,4.63336810700024,4.2059675080826,6.87429086020778,3.66335493646421,1.86507715675659,2.57026351440134,0.173637769808645,0.310303141566992,0.32212935021521,0.953694817658349,0.966839519650655,0.952380952380952,0.680347976250274,0.923249918549484,0.709001147527703,0.478723404255319,0.731111111111111,0.593692022263451,0.721255438160348,0.111231940344881,0.15156458549607,0.845381862971198,0.637665823917779,0.894025555236546,0.642173544850689,0.613400242523484,0.603798935519989
Anime,"is hand-drawn and computer animation originating from Japan. In Japan and in Japanese,  (a term derived from the English word animation) describes all animated works, regardless of style or origin.",Anime,"Anime (jap. , [], deutsch häufig [], Plural: Animes und Anime) bezeichnet in Japan produzierte Zeichentrickfilme und Zeichentrickserien.",30,18,"Anime (Japanese: ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" or ""Anime"" (""Anime"" or ""Anime"" or ""Anime"") is a Japanese animated film produced in Japan.","Anime (jap., [], deutsch häufig [], Plural: Animes und Anime) bezeichnet in Japan produzierte Zeichentrickfilme und Zeichentrickserien.","Anime (jap., [], German often [], Plural: Animes and Anime) is referred to in Japan produced cartoon movies and cartoon series.",GPU,1.67240164217057,96.6666666666667,15.2033636166824,0.0851063829787234,0.804113675548288,223.333333333333,18.3749060461785,0.0606060606060606,1.8588568075827,93.3333333333333,17.2803539173502,0.16,0.346196204423904,0.5729,0.517078101634979,0.6265,0.384385585784912,0.6265,4.0,2.0,3.0,11.0,7.0,9.0,0.0,0,0,4.66248189147992,4.13967222781503,6.94788792452887,2.85836798924112,1.29242556721657,3.5537352502633,0.0116214943943788,0.107040271338672,0.0498398311709397,0.943378119001919,0.994395924308588,0.984126984126984,0.227365524653329,0.31288331272055,0.204394432588471,0.0681818181818182,0.2,0.232727272727273,0.555003107520199,0.590647817306198,0.609224380839389,0.399710640562833,0.455848422904151,0.587358372430984,0.36754345071908,0.443469291429693,0.444611878980673
Ankara,"Ankara ( ,  ; ), historically known as Ancyra and Angora, is the capital of Turkey. Located in the central part of Anatolia, the city has a population of 5.1 million in its urban center and over 5.",Ankara,"Ankara [], früher Angora (antiker Name , ), ist seit 1923 die Hauptstadt der Türkei und der gleichnamigen Provinz Ankara.",38,20,Ankara () is the capital city of Turkey and the province of Ankara.,"Ankara, früher Angora (Antiker Name, ), ist seit 1923 die Hauptstadt der Türkei und der gleichnamigen Provinz Ankara.","Ankara [], formerly Angora (antique name, ), has been the capital of Turkey since 1923, and the same name province of Ankara.",GPU,1.95210274713108,100.0,16.9580873814783,0.074074074074074,2.59551970783583,81.5789473684211,20.7487890864857,0.340425531914894,7.66923484296864,84.2105263157895,27.6354596410331,0.290909090909091,0.759196519851685,0.6034,0.714724242687225,0.7796,0.549914360046387,0.7796,4.0,5.0,3.0,8.0,6.0,11.0,0.0,0,0,7.89345550658462,3.3565255667736,5.56015482198872,2.68133641170277,2.23386597371765,2.62103349204615,0.0375118825264928,0.12494224022806,0.205628194826319,0.984190322254773,0.993449781659389,0.986842105263158,0.258524849437532,0.348995307294986,0.354988107976849,0.382978723404255,0.174074074074074,0.423140495867769,0.602392790553139,0.828491533322976,0.836274655197983,0.794114204609547,0.6414686459098,0.7931489698646,0.509952128797623,0.518570263748214,0.60000375483278
Alfred Hitchcock,Sir Alfred Joseph Hitchcock  (13 August 1899 – 29 April 1980) was an English filmmaker who was one of the most influential figures in the history of cinema.,Alfred Hitchcock,"Sir Alfred Joseph Hitchcock KBE (* 13. August 1899 in Leytonstone, England; † 29. April 1980 in Los Angeles) war ein britischer Filmregisseur, Drehbuchautor, Filmproduzent und Filmeditor. Er siedelte 1939 in die USA über und nahm am 20.",28,38,"Sir Alfred Joseph Hitchcock KBE (born August 13, 1899 in Leytonstone, England – April 29, 1980 in Los Angeles) was a British film director, screenwriter, film producer and editor.","Sir Alfred Joseph Hitchcock KBE (* 13. August 1899 in Leytonstone, England; † 29. April 1980 in Los Angeles) war ein britischer Regisseur, Drehbuchautor, Filmproduzent und Filmeditor. Er siedelte 1939 in die USA über und nahm am 20.","Sir Alfred Joseph Hitchcock KBE (* 13 August 1899 in Leytonstone, England; † 29 April 1980 in Los Angeles) was a British film director, script writer, film producer and film editor.",GPU,7.39953874803687,107.142857142857,39.1144969555941,0.349206349206349,9.47959309300111,82.1428571428571,40.3280290334453,0.327272727272727,12.8298430292075,82.1428571428571,45.6201310980692,0.392857142857143,0.686955809593201,0.6733,0.688969492912293,0.7411,0.475908398628235,0.7411,7.0,2.0,5.0,6.0,3.0,7.0,0.0,0,0,7.34444246088475,4.24546342147921,5.11823391145302,4.18901633093128,0.862472144296999,2.93802596063745,0.1370043083973,0.47359953219306,0.343994872502793,0.984027968193035,0.99142233312539,0.987457482993197,0.515519775546543,0.804971432074101,0.616538095745034,0.368181818181818,0.820634920634921,0.571428571428571,0.71100062150404,0.768681062606804,0.779178407237135,0.725126379344328,0.55848003487541,0.766332937359641,0.573476811861177,0.736298219251614,0.677488394544395
Alfred Nobel,"Alfred Bernhard Nobel ( , ; 21 October 1833 – 10 December 1896) was a Swedish chemist, engineer, inventor, businessman, and philanthropist.",Alfred Nobel,"[] (* 21. Oktober 1833 in Stockholm; † 10. Dezember 1896 in Sanremo, Italien) war ein schwedischer Chemiker und Erfinder. Ihm wurden insgesamt 355 Patente erteilt.

Nobel ist der Erfinder des Dynamits sowie Stifter und Namensgeber des Nobelpreises.",22,38,"[] (born 21 October 1833 in Stockholm; died 10 December 1896 in Sanremo, Italy) was a Swedish chemist and inventor. He was granted a total of 355 patents. Nobel is the inventor of the dynamite as well as the founder and namesake of the Nobel Prize.","[] (* 21. Oktober 1833 in Stockholm; † 10. Dezember 1896 in Sanremo, Italien) war ein schwedischer Chemiker und Erfinder. Er erhielt insgesamt 355 Patente. Nobel ist der Erfinder des Dynamits sowie Stifter und Namensgeber des Nobelpreises.","[] (* 21 October 1833 in Stockholm; † 10 December 1896 in Sanremo, Italy) was a Swedish chemist and inventor. He was awarded a total of 355 patents. Nobel is the inventor of the dynamite and the founder and nominator of the Nobel Prize.",GPU,1.38221240564566,168.181818181818,28.2547092085769,0.153846153846154,11.7362630704864,181.818181818182,43.9284810720713,0.380952380952381,12.2012892260134,172.727272727273,44.2214302728094,0.406779661016949,0.697147369384766,0.6192,0.727022230625153,0.757,0.417949855327606,0.757,8.0,4.0,7.0,3.0,9.0,6.0,0.0,0,0,6.33322175440724,2.11983296992294,7.08335305812001,2.68087202336059,1.10073364453793,3.92183842519782,0.169618947708621,0.0884670208503065,0.327142033002054,0.955330657825859,0.974096863834855,0.960497835497836,0.562778908594218,0.58147836492149,0.596196874354807,0.428571428571428,0.361538461538461,0.591679506933744,0.626942200124301,0.793382010253224,0.802758416135251,0.734859029308106,0.493486635506965,0.805953724217524,0.579683528688756,0.548741559484217,0.680704731690203
Apollo 11,"Apollo 11 (July 16–24, 1969) was the American spaceflight that first landed humans on the Moon.",Apollo 11,Apollo 11 war die erste bemannte Raumfahrtmission mit einer Mondlandung. Sie war der fünfte bemannte Flug des Apollo-Programms der US-amerikanischen Raumfahrtbehörde NASA. Die Mission verlief erfolgreich und erreichte das 1961 von US-Präsident John F.,16,34,Apollo 11 was the first manned space mission with a lunar landing. It was the fifth manned flight of the Apollo program of the U.S. Space Agency NASA. The mission was successful and reached by US President John F in 1961.,Apollo 11 war die erste bemannte Raumfahrtmission mit einer Mondlandung. Sie war der fünfte bemannte Flug des Apollo-Programms der US-amerikanischen Raumfahrtbehörde NASA. Die Mission verlief erfolgreich und erreichte das 1961 von US-Präsident John F.,Apollo 11 was the first bemanning space mission with a moon landing. It was the fifth bemanning flight of the Apollo program of the U.S. Space Agency NASA. The mission passed successfully and reached the 1961 by US President John F.,GPU,2.20543884866438,200.0,21.0823241566991,0.0701754385964912,2.52859510110611,225.0,29.4761614389812,0.203389830508475,2.52859510110611,225.0,29.3297592365888,0.203389830508475,0.745805740356445,0.6439,0.670526027679443,0.6934,0.488806366920471,0.6934,5.0,1.0,7.0,8.0,2.0,9.0,0.0,0,0,5.54681435738504,2.47149277206188,8.04578689185718,2.96905663682881,2.21926751412424,3.08608527463436,0.0365446511939016,0.141156745382942,0.067796912825512,0.942898272552783,0.965065502183406,0.944940476190476,0.373079368353048,0.433871581862218,0.379628204380715,0.228813559322034,0.164912280701754,0.295839753466872,0.665320074580485,0.694578219667547,0.708438380542785,0.781326390748399,0.572943524751454,0.747129467416806,0.504663719458442,0.495421309091554,0.523962199137194
